web_scraper_order,web_scraper_start_url,pagination-selector,price,data,image
"1770053921-42","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","119.00","มีโอ ทรายแมว ชนิดจับตัวเป็นก้อน กลิ่นแอปเปิ้ล 5 ล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/54/88/8850477570054/thumbnail/8850477570054_1-20221223135407-.jpg"
"1770053921-43","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","135.00","วิสกัส อาหารแมวชนิดเม็ด สำหรับแมวโต รสปลาทูน่า 1.2 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/03/93/9310022866203/thumbnail/9310022866203_1-20251031172102-.jpg"
"1770053921-44","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","18.00","มีโอ ดีไลท์ 7+ อาหารแมวสำเร็จรูปชนิดเปียก สำหรับแมวสูงอายุ รสปลาทูน่าในเยลลี่ 80 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/20/88/8850477006720/thumbnail/8850477006720_1-20240515162817-.jpg"
"1770053921-45","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","135.00","วิสกัส จูเนียร์ อาหารลูกแมวชนิดเม็ด รสปลาทู 1.1 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/39/88/8853301001939/thumbnail/8853301001939_1-20240624085110-.jpg"
"1770053921-46","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","52.00","เจอร์ไฮ สติ๊ก ขนมสำหรับสุนัขแบบแท่ง รสแครอท 60 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/13/88/8851759931013/thumbnail/8851759931013_2.jpg"
"1770053921-47","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","71.00","วิสกัส อาหารแมวชนิดเม็ด รสปลาทู 480 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/45/88/8853301140645/thumbnail/8853301140645_1-20240925132851-.jpg"
"1770053921-48","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","18.00","มีโอ อาหารแมวชนิดเปียก รสปลาทูในเยลลี่ 80 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/08/88/8850477584808/thumbnail/8850477584808.jpg"
"1770053921-49","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","25.00","สมาร์ทฮาร์ท อาหารสุนัขชนิดเปียก รสเป็ดย่าง 120 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/82/88/8850477023482/thumbnail/8850477023482.jpg"
"1770053921-50","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","18.00","วิสกัส เพาช์ รสไก่ผสมแซลมอน 80 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/81/88/8853301012881/thumbnail/8853301012881_1-20240220085236-.jpg"
"1770053921-51","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","35.00","โฮ่ง โฮ่ง อาหารสุนัขชนิดเปียก รสเนื้อวัวและตับ 400 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/31/88/8859160400531/thumbnail/8859160400531_1-20250610154218-.jpg"
"1770053921-52","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","199.00","บิ๊กซี แฮปปี้ ไพรซ์ ขนมสุนัข ไก่พันแท่งหนังเกลียว 250 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/11/88/8852523011511/thumbnail/8852523011511_1-20240201151835-.jpg"
"1770053921-53","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","25.00","สมาร์ทฮาร์ท อาหารสุนัขชนิดเปียก รสปลาแซลมอน 130 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/16/88/8850477014916/thumbnail/8850477014916-20230207171718-.jpg"
"1770053921-54","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","199.00","มีโอ ทรายแมว สูตรชนิดจับตัวเป็นก้อน กลิ่นกาแฟ 10 ล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/47/88/8850477017047/thumbnail/8850477017047_1-20251202182131-.jpg"
"1770053921-55","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","589.00","ฟริสกี้ส์ อาหารแมวชนิดเม็ด รสรวมมิตรปลาทะเล 6 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/36/88/8850125073036/thumbnail/8850125073036_1-20240913150718-.jpg"
"1770053921-56","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","289.00","วิสกัส อาหารแมวชนิดเม็ด รสปลาทู 3 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/17/88/8853301141017/thumbnail/8853301141017_1-20251031172054-.jpg"
"1770053921-57","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","127.00","มีโอ อาหารแมว สำหรับแมวโต รสปลาทูน่า 1.2 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/53/88/8850477059153/thumbnail/8850477059153_1-20251031172042-.jpg"
"1770053921-58","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","25.00","เพียวริน่าวัน อาหารแมวชนิดเปียก สูตรควบคุมก้อนขน สำหรับแมวโต 70 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/40/88/8850124082640/thumbnail/8850124082640_1-20240220091811-.jpg"
"1770053921-59","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","115.00","ฟริสกี้ส์ อินดอร์ ดีไลท์ อาหารแมวชนิดเม็ด สำหรับแมวเลี้ยงในบ้าน 1 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/12/88/8850125073012/thumbnail/8850125073012_1-20240913150718-.jpg"
"1770053921-60","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","57.00","เพดดิกรี ชแม้กโก้ ขนมสุนัข รสเนื้อรมควัน 70 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/27/88/8853301011327/thumbnail/8853301011327_1-20240119100429-.jpg"
