web_scraper_order,web_scraper_start_url,pagination-selector,price,data2,image
"1769948089-60","https://www.bigc.co.th/category/beverages?limit=100&page=23","","85.00","สิงห์ แดงเลมอนโซดา 330 มล. x 5+1 ชิ้น","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/61/88/8850999019161/8850999019161_3-20240606174208-.jpg"
"1769948089-61","https://www.bigc.co.th/category/beverages?limit=100&page=23","","20.00","อิชิตัน ชาเขียวพร้อมดื่ม รสน้ำผึ้งผสมมะนาว 420 มล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/73/88/8858891300073/thumbnail/8858891300073_1-20240126145927-.jpg"
"1769948089-62","https://www.bigc.co.th/category/beverages?limit=100&page=23","","51.00","คริสตัล น้ำดื่ม 350 มล. แพ็ค 12","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/08/88/8851952150808/thumbnail/8851952150808_1-20250305102305-.jpg"
"1769948089-63","https://www.bigc.co.th/category/beverages?limit=100&page=23","","190.00","สิงห์ โซดา 325 มล. x 24 ชิ้น","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/24/88/8850999220024/thumbnail/8850999220024_1-20250715111028-.jpg"
"1769948089-64","https://www.bigc.co.th/category/beverages?limit=100&page=23","","51.00","สิงห์ น้ำดื่มขวดเล็ก 330 มล. แพ็ค 12","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/75/88/8850999002675/thumbnail/8850999002675_1-20250724185100-.jpg"
"1769948089-65","https://www.bigc.co.th/category/beverages?limit=100&page=23","","85.00","เพอร์ร่า น้ำแร่ธรรมชาติ 100% 600 มล. แพ็ค 12","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/56/88/8850999001456/thumbnail/8850999001456_1-20250715112145-.jpg"
"1769948089-66","https://www.bigc.co.th/category/beverages?limit=100&page=23","","85.00","เพอร์ร่า น้ำแร่ธรรมชาติ 100% 1500 มล. แพ็ค 6","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/70/88/8850999001470/thumbnail/8850999001470_1-20250715112003-.jpg"
"1769948089-67","https://www.bigc.co.th/category/beverages?limit=100&page=23","","99.00","มองต์เฟลอ น้ำแร่ 500 มล. แพ็ค 12","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/27/88/8851530113027/thumbnail/8851530113027_1-20251024095229-.jpg"
"1769948089-68","https://www.bigc.co.th/category/beverages?limit=100&page=23","","43.00","โค้ก น้ำอัดลม สูตรน้ำตาลน้อย 2.5 ล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/86/88/8851959004586/thumbnail/8851959004586_1-20251016135803-.jpg"
"1769948089-69","https://www.bigc.co.th/category/beverages?limit=100&page=23","","10.00","คาราบาวแดง เครื่องดื่มชูกำลัง 150  มล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/11/88/8855790000011/thumbnail/8855790000011_1-20240516214331-.jpg"
"1769948089-70","https://www.bigc.co.th/category/beverages?limit=100&page=23","","79.00","โค้ก น้ำอัดลมกระป๋อง รสออริจินัล 325 มล. x 5+1 ชิ้น","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/17/88/8851959632017/thumbnail/8851959632017_1-20250715151959-.jpg"
"1769948089-71","https://www.bigc.co.th/category/beverages?limit=100&page=23","","48.00","สิงห์ โซดา 325 มล. x 6 ชิ้น","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/84/88/8850999000084/thumbnail/8850999000084_1-20250715110911-.jpg"
"1769948089-72","https://www.bigc.co.th/category/beverages?limit=100&page=23","","99.00","มิเนเร่ น้ำดื่ม น้ำแร่ธรรมชาติ 100% 1.5 ล. แพ็ค 8","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/03/88/8850011100303/thumbnail/8850011100303-20250620150348-.jpg"
"1769948089-73","https://www.bigc.co.th/category/beverages?limit=100&page=23","","65.00","เฮลซ์บลูบอย น้ำหวานเข้มข้น กลิ่นครีมโซดา 710 มล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/86/88/8850423000086/thumbnail/8850423000086_1-20240125111120-.jpg"
"1769948089-74","https://www.bigc.co.th/category/beverages?limit=100&page=23","","40.00","สิงห์ น้ำดื่ม 6 ล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/26/88/8850999171326/thumbnail/8850999171326_1-20250724185102-.jpg"
"1769948089-75","https://www.bigc.co.th/category/beverages?limit=100&page=23","","116.00","เนสกาแฟ เบลนด์ แอนด์ บรู ริช อโรมา กาแฟปรุงสำเร็จ 17 ก. แพ็ค 27","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/97/88/8850127004397/thumbnail/8850127004397_1-20250620114926-.jpg"
"1769948089-76","https://www.bigc.co.th/category/beverages?limit=100&page=23","","35.00","บิ๊กซี แฮปปี้ ไพรซ์ โปร น้ำดื่ม 350 มล. แพ็ค 12","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/78/88/8854641002778/thumbnail/8854641002778_1-20250116232510-.jpg"
"1769948089-77","https://www.bigc.co.th/category/beverages?limit=100&page=23","","34.00","บิ๊กซี เอชทูโอ น้ำดื่ม 6 ล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/93/88/8854641002693/thumbnail/8854641002693_1-20231019113707-.jpg"
"1769948089-78","https://www.bigc.co.th/category/beverages?limit=100&page=23","","99.00","มิเนเร่ น้ำดื่ม น้ำแร่ธรรมชาติ 500 มล. แพ็ค 12","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/97/88/8850127057997/thumbnail/8850127057997-20250620150337-.jpg"
"1769948089-79","https://www.bigc.co.th/category/beverages?limit=100&page=23","","109.00","โอวัลติน มอลต์ พาวเวอร์ 3in1 เครื่องดื่มมอลต์ รสช็อกโกแลตปรุงสำเร็จ x 17 ซอง","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/08/88/8850086165108/thumbnail/8850086165108_1-20251029110406-.jpg"
"1769948089-80","https://www.bigc.co.th/category/beverages?limit=100&page=23","","117.00","โค้ก น้ำอัดลม รสออริจินัล สูตรน้ำตาลน้อยกว่า 1.5 ล. x 4 ชิ้น","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/10/88/8851959743010/thumbnail/8851959743010_1-20250306100308-.jpg"
"1769948089-81","https://www.bigc.co.th/category/beverages?limit=100&page=23","","27.00","มะลิ ผลิตภัณฑ์นมข้นหวาน 355 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/16/88/8850151961116/thumbnail/8850151961116_1-20240930132552-.jpg"
"1769948089-82","https://www.bigc.co.th/category/beverages?limit=100&page=23","","117.00","ออร่า น้ำแร่ธรรมชาติ 1500 มล. แพ็ค 6","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/53/88/8850779595953/thumbnail/8850779595953_1-20251006105355-.jpg"
"1769948089-83","https://www.bigc.co.th/category/beverages?limit=100&page=23","","46.00","บิ๊กซี เฮช ทู โอ น้ำดื่ม 1500 มล.แพ็ค 6","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/54/88/8854641002754/thumbnail/8854641002754_1-20221124150810-.jpg"
"1769948089-84","https://www.bigc.co.th/category/beverages?limit=100&page=23","","85.00","สิงห์ พิงก์ เลมอน โซดา 330 มล. x 6 ชิ้น","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/12/88/8850999023212/8850999023212_3-20240710103857-.jpg"
"1769948089-85","https://www.bigc.co.th/category/beverages?limit=100&page=23","","26.00","คาร์เนชัน เอ็กซ์ตร้า ครีมเทียมพร่องไขมันสำหรับอาหารและเบเกอรี่ 369 มล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/99/88/8850124070999/thumbnail/8850124070999_4.jpg"
"1769948089-86","https://www.bigc.co.th/category/beverages?limit=100&page=23","","88.00","คาราบาวแดง เครื่องดื่มชูกำลัง 150 มล. แพ็ค 10","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/66/88/8855790000066/thumbnail/8855790000066_1-20240919120101-.jpg"
