web_scraper_order,web_scraper_start_url,pagination-selector,price,data,price2,image
"1770054171-1429","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","1,298.00","ฮาตาริ พัดลมปรับระดับ 16 นิ้ว รุ่น HT-S16R2 (สินค้าคละสี ไม่สามารถเลือกได้)","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/37/88/8850918004537/thumbnail/8850918004537.jpg"
"1770054171-1430","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","1,848.00","ฮาตาริ พัดลมติดผนัง 18 นิ้ว รุ่น HF-W18R1 สีขาว","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/67/88/8850918003967/thumbnail/8850918003967.jpg"
"1770054171-1431","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","2,590.00","ทีซีแอล แท็บเล็ต รุ่น TAB 7 Lite WiFi ขนาด 1/32 สีไพร์มแบล็ก","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/44/20/2000007504844/thumbnail/2000007504844.jpg"
"1770054171-1432","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","10,490.00","เรียลมี แท็บเล็ต แพด LTE ขนาด 4/64 GB สีทอง","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/98/20/2000007480698/thumbnail/2000007480698.jpg"
"1770054171-1433","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","350.00","แซนดิสก์ อัลตร้า อุปกรณ์สำรองข้อมูล MicroSDXC™ UHS-I การ์ด รุ่น SDSQUNR-128G-GN6MN ขนาด 128GB","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/91/77/7719659185091/thumbnail/7719659185091_1-20230531163358-.jpg"
"1770054171-1434","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","54,900.00","แอปเปิ้ล ไอโฟน 14 Pro สีดำสเปซแบล็ค ขนาด 512 GB","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/21/01/0194253403821/thumbnail/194253403821_1-20230412121513-.jpg"
"1770054171-1435","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","66,900.00","แอปเปิ้ล ไอโฟน 14 Pro Max สีดำสเปซแบล็ค ขนาด 1 TB","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/13/01/0194253382713/thumbnail/194253382713_1-20230412122620-.jpg"
"1770054171-1436","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","42,900.00","แอปเปิ้ล ไอโฟน 14 สีเหลือง ขนาด 512 GB","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/73/01/0194253750673/thumbnail/0194253750673_1-20230411132945-.jpg"
"1770054171-1437","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","45,900.00","แอปเปิ้ล ไอโฟน 14 พลัส สีเหลือง ขนาด 512 GB","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/62/01/0194253749462/thumbnail/194253749462_1-20230412141209-.jpg"
"1770054171-1438","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","36,900.00","แอปเปิ้ล ไอโฟน 14 พลัส สีเหลือง ขนาด 256 GB","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/57/01/0194253749257/thumbnail/194253749257_1-20230412141209-.jpg"
"1770054171-1439","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","32,900.00","แอปเปิ้ล ไอโฟน 14 พลัส สีเหลือง ขนาด 128 GB","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/42/01/0194253749042/thumbnail/194253749042_1-20230412141209-.jpg"
"1770054171-1440","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","32,900.00","แอปเปิ้ล ไอโฟน 14 พลัส สีฟ้า ขนาด 128 GB","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/04/01/0194253374404/thumbnail/0194253374404_1-20230411133146-.jpg"
"1770054171-1441","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","6,790.00","แอปเปิ้ล แอร์พอร์ตพร้อมเคสชาร์จ Lightning รุ่นที่ 3 (MPNY3ZA/A) สีขาว","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/57/01/0194253324157/thumbnail/0194253324157_1-20230424142635-.jpg"
"1770054171-1442","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","44,900.00","แอปเปิ้ล ไอโฟน 14 Pro Max สีเงิน ขนาด 128 GB","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/28/20/2000007665828/thumbnail/2000007665828_1-20230410182504-.jpg"
"1770054171-1443","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","66,900.00","แอปเปิ้ล ไอโฟน 14 Pro Max สีทอง ขนาด 1 TB","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/58/20/2000007665958/thumbnail/2000007665958_1-20230410182352-.jpg"
"1770054171-1444","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","66,900.00","แอปเปิ้ล ไอโฟน 14 Pro Max สีม่วงเข้ม ขนาด 1 TB","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/65/20/2000007665965/thumbnail/2000007665965_1-20230410181734-.jpg"
